Mnemonic,MC68000/ MC68008,MC68010,MC68020,MC68030,MC68040,MC68060,MC68881/ MC68882,MC68851,CPU32
PFLUSH,,,,"x,5",x,x,,x,
PFLUSHA,,,,"x,5",,,,x,
PFLUSHR,,,,,,,,x,
PFLUSHS,,,,,,,,x,
PLPA,,,,,,x,,,
PLOAD,,,,"x,5",,,,x,
PMOVE,,,,x,,,,x,
PRESTORE,,,,,,,,x,
PSAVE,,,,,,,,x,
PScc,,,,,,,,x,
PTEST,,,,x,x,,,x,
PTRAPcc,,,,,,,,x,
PVALID,,,,,,,,x,
RESET,x,x,x,x,x,x,,,x
"ROL,ROR",x,x,x,x,x,x,,,x
"ROXL, ROXR",x,x,x,x,x,x,,,x
RTD,,x,x,x,x,x,,,x
RTE,x,x,x,x,x,x,,,x
RTM,,,x,,,,,,
RTR,x,x,x,x,x,x,,,x
RTS,x,x,x,x,x,x,,,x
SBCD,x,x,x,x,x,x,,,x
Scc,x,x,x,x,x,x,,,x
STOP,x,x,x,x,x,x,,,x
SUB,x,x,x,x,x,x,,,x
SUBA,x,x,x,x,x,x,,,x
SUBI,x,x,x,x,x,x,,,x
SUBQ,x,x,x,x,x,x,,,x
SUBX,x,x,x,x,x,x,,,x
SWAP,x,x,x,x,x,x,,,x
TAS,x,x,x,x,x,x,,,x
"TBLS, TBLSN",,,,,,,,,x
"TBLU, TBLUN",,,,,,,,,x
TRAP,x,x,x,x,x,x,,,x
TRAPcc,,,x,x,x,x,,,x
TRAPV,x,x,x,x,x,x,,,x
TST,x,x,x,x,x,x,,,x
UNLK,x,x,x,x,x,x,,,x
UNPK,,,x,x,x,x,,,
